timestamp,vehicle_id,rsu_id,x,y,z,speed,acceleration,heading_rad,road_id,rxPower_dbm,sinr_db,txPower_mw,txPowerSource,neighborCount,nearestRSU,packetsSent,packetsReceived,pdr,distance_to_rsu_m,signal_age_ms,cqi,mcs,rsrp_dbm,rsrq_db,connection_type,cbr,throughput_kbps,interference_dbm
39.2,node[4],1,7189.6066,2258.5780,1.8950,16.6499,166.4986,1.7568,525340636,-81.2755,-2.0211,100.0000,default,11,rsu(765m),1,15,0.0751,765,3.5166,3,4,-81.2755,-98.2652,direct,0.0500,0.0306,-88.2834
39.3,node[4],1,7189.2996,2256.9466,1.8950,16.6012,-0.4869,1.7568,525340636,-85.0244,-5.0000,100.0000,default,11,rsu(766m),2,30,0.0180,766,3.5138,2,2,-85.0244,-102.0141,direct,0.0500,0.0306,-88.2835
39.4,node[4],1,7188.9935,2255.3205,1.8950,16.5463,-0.5486,1.7568,525340636,-85.2276,-5.0000,100.0000,default,11,rsu(768m),3,45,0.0180,768,3.5240,2,2,-85.2276,-102.2173,direct,0.0500,12.0000,-88.2836
39.5,node[4],1,7188.6878,2253.6964,1.8950,16.5263,-0.2004,1.7568,525340636,-80.2695,-5.0000,100.0000,default,11,rsu(769m),4,60,0.0180,769,3.5212,2,2,-80.2695,-97.2592,direct,0.0500,12.0000,-88.2836
39.6,node[4],1,7188.3803,2252.0625,1.8950,16.6260,0.9975,1.7568,525340636,-83.2585,-5.0000,100.0000,default,11,rsu(771m),5,75,0.0180,771,3.5183,2,2,-83.2585,-100.2482,direct,0.0500,12.0000,-88.2836
39.7,node[4],1,7188.0740,2250.4356,1.8950,16.5547,-0.7131,1.7568,525340636,-79.7648,-1.1908,100.0000,default,11,rsu(772m),6,90,0.1095,772,3.5156,3,4,-79.7648,-96.7545,direct,0.0500,12.0000,-88.2837
39.8,node[4],1,7187.7679,2248.8093,1.8950,16.5485,-0.0620,1.7568,525340636,-80.6838,-1.7373,100.0000,default,11,rsu(771m),7,105,0.0856,771,3.5128,3,4,-80.6838,-97.6735,direct,0.0500,12.0000,-88.2837
39.9,node[4],1,7187.4614,2247.1807,1.8950,16.5720,0.2353,1.7568,525340636,-88.5109,-5.0000,100.0000,default,11,rsu(770m),8,120,0.0180,770,3.5230,2,2,-88.5109,-105.5006,direct,0.0500,12.0000,-88.2837
40,node[4],1,7187.1548,2245.5521,1.8950,16.5723,0.0024,1.7568,525340636,-76.9437,2.3765,100.0000,default,11,rsu(768m),9,135,0.4227,768,3.5202,5,8,-76.9437,-93.9334,direct,0.0500,12.0000,-88.2837
40.1,node[4],1,7186.8472,2243.9178,1.8950,16.6296,0.5731,1.7568,525340636,-83.6676,-4.7713,100.0000,default,11,rsu(767m),10,150,0.0201,767,3.5174,2,2,-83.6676,-100.6573,direct,0.0500,12.0000,-88.2837
40.2,node[4],1,7186.5403,2242.2872,1.8950,16.5919,-0.3768,1.7568,525340636,-83.1410,-5.0000,100.0000,default,11,rsu(765m),11,165,0.0180,765,3.5146,2,2,-83.1410,-100.1307,direct,0.0500,12.0000,-88.2837
40.3,node[4],1,7186.2327,2240.6530,1.8950,16.6296,0.3768,1.7568,525340636,-83.3855,-5.0000,100.0000,default,11,rsu(763m),12,180,0.0180,763,3.5248,2,2,-83.3855,-100.3752,direct,0.0500,12.0000,-88.2837
40.4,node[4],1,7185.9250,2239.0180,1.8950,16.6369,0.0728,1.7568,525340636,-85.6141,-5.0000,100.0000,default,11,rsu(762m),13,195,0.0180,762,3.5220,2,2,-85.6141,-102.6038,direct,0.0500,12.0000,-88.2836
40.5,node[4],1,7185.6171,2237.3825,1.8950,16.6423,0.0545,1.7568,525340636,-84.8110,-5.0000,100.0000,default,11,rsu(760m),14,210,0.0180,760,3.5192,2,2,-84.8110,-101.8007,direct,0.0500,12.0000,-88.2836
40.6,node[4],1,7185.3103,2235.7521,1.8950,16.5902,-0.5215,1.7568,525340636,-80.7829,-2.8580,100.0000,default,11,rsu(758m),15,225,0.0507,758,3.5164,3,4,-80.7829,-97.7726,direct,0.0500,12.0000,-88.2835
40.7,node[4],1,7185.0044,2234.1269,1.8950,16.5373,-0.5290,1.7568,525340636,-85.7351,-5.0000,100.0000,default,11,rsu(757m),16,240,0.0180,757,3.5137,2,2,-85.7351,-102.7248,direct,0.0500,12.0000,-88.2835
40.8,node[4],1,7184.6972,2232.4950,1.8950,16.6065,0.6922,1.7568,525340636,-83.3672,-5.0000,100.0000,default,11,rsu(755m),17,255,0.0180,755,3.5239,2,2,-83.3672,-100.3569,direct,0.0500,12.0000,-88.2834
40.9,node[4],1,7184.3907,2230.8664,1.8950,16.5717,-0.3476,1.7568,525340636,-85.1850,-5.0000,100.0000,default,11,rsu(753m),18,270,0.0180,753,3.5211,2,2,-85.1850,-102.1747,direct,0.0500,12.0000,-88.2833
41,node[4],1,7184.0830,2229.2320,1.8950,16.6313,0.5957,1.7568,525340636,-85.8227,-5.0000,100.0000,default,11,rsu(752m),19,285,0.0180,752,3.5183,2,2,-85.8227,-102.8124,direct,0.0500,12.0000,-88.2833
41.1,node[4],1,7183.7767,2227.6048,1.8950,16.5578,-0.7348,1.7568,525340636,-80.7450,-1.3623,100.0000,default,11,rsu(750m),20,300,0.1015,750,3.5155,3,4,-80.7450,-97.7347,direct,0.0500,12.0000,-88.2832
